002041.SZ,登海種業
002042.SZ,華孚色紡
002043.SZ,兔 寶 寶
002044.SZ,江蘇三友
002045.SZ,國光電器
002046.SZ,軸研科技
002047.SZ,成霖股份
002048.SZ,寧波華翔
002049.SZ,同方國芯
002050.SZ,三花股份
002051.SZ,中工國際
002052.SZ,同洲電子
002053.SZ,云南鹽化
002054.SZ,德美化工
002055.SZ,得潤電子
002056.SZ,橫店東磁
002057.SZ,中鋼天源
002058.SZ,威 爾 泰
002059.SZ,云南旅游
002060.SZ,粵 水 電
002061.SZ,江山化工
002062.SZ,宏潤建設
002063.SZ,遠光軟件
002064.SZ,華峰氨綸
002065.SZ,東華軟件
002066.SZ,瑞泰科技
002067.SZ,景興紙業
002068.SZ,黑貓股份
002069.SZ,獐 子 島
002070.SZ,眾和股份
002071.SZ,江蘇宏寶
002072.SZ,ST德棉
002073.SZ,軟控股份
002074.SZ,東源電器
002075.SZ,沙鋼股份
002076.SZ,雪 萊 特
002077.SZ,大港股份
002078.SZ,太陽紙業
002079.SZ,蘇州固鎝
002080.SZ,中材科技
002081.SZ,金 螳 螂
002082.SZ,棟梁新材
002083.SZ,孚日股份
002084.SZ,海鷗衛浴
002085.SZ,萬豐奧威
002086.SZ,東方海洋
002087.SZ,新野紡織
002088.SZ,魯陽股份
002089.SZ,新 海 宜
002090.SZ,金智科技
002091.SZ,江蘇國泰
002092.SZ,中泰化學
002093.SZ,國脈科技
002094.SZ,青島金王
002095.SZ,生 意 寶
002096.SZ,南嶺民爆
002097.SZ,山河智能
002098.SZ,潯興股份
002099.SZ,海翔藥業
002100.SZ,天康生物
002101.SZ,廣東鴻圖
002102.SZ,*ST冠福
002103.SZ,廣博股份
002104.SZ,恒寶股份
002105.SZ,信隆實業
002106.SZ,萊寶高科
002107.SZ,沃華醫藥
002108.SZ,滄州明珠
002109.SZ,興化股份
002110.SZ,三鋼閩光
002111.SZ,威海廣泰
002112.SZ,三變科技
002113.SZ,ST天潤
002114.SZ,*ST鋅電
002115.SZ,三維通信
002116.SZ,中國海誠
002117.SZ,東港股份
002118.SZ,紫鑫藥業
002119.SZ,康強電子
002120.SZ,新海股份
002121.SZ,科陸電子
002122.SZ,天馬股份
002123.SZ,榮信股份
002124.SZ,天邦股份
002125.SZ,湘潭電化
002126.SZ,銀輪股份
002127.SZ,新民科技
002128.SZ,露天煤業
002129.SZ,中環股份
002130.SZ,沃爾核材
002131.SZ,利歐股份
002132.SZ,恒星科技
002133.SZ,廣宇集團
002134.SZ,天津普林
002135.SZ,東南網架
002136.SZ,安 納 達
002137.SZ,實 益 達
002138.SZ,順絡電子
002139.SZ,拓邦股份
002140.SZ,東華科技
002141.SZ,蓉勝超微
002142.SZ,寧波銀行
002143.SZ,高金食品
002144.SZ,宏達高科
002145.SZ,中核鈦白
002146.SZ,榮盛發展
002147.SZ,方圓支承
002148.SZ,北緯通信
002149.SZ,西部材料
002150.SZ,江蘇通潤
002151.SZ,北斗星通
002152.SZ,廣電運通
002153.SZ,石基信息
002154.SZ,報 喜 鳥
002155.SZ,辰州礦業
002156.SZ,通富微電
002157.SZ,正邦科技
002158.SZ,漢鐘精機
002159.SZ,三特索道
002160.SZ,常鋁股份
002161.SZ,遠 望 谷
002162.SZ,*ST上控
002163.SZ,中航三鑫
002164.SZ,東力傳動
002165.SZ,紅 寶 麗
002166.SZ,萊茵生物
002167.SZ,東方鋯業
002168.SZ,深圳惠程
002169.SZ,智光電氣
002170.SZ,芭田股份
002171.SZ,精誠銅業
002172.SZ,澳洋科技
002173.SZ,千足珍珠
002174.SZ,梅 花 傘
002175.SZ,廣陸數測
002176.SZ,江特電機
002177.SZ,御銀股份
002178.SZ,延華智能
002179.SZ,中航光電
002180.SZ,萬 力 達
002181.SZ,粵 傳 媒
002182.SZ,云海金屬
002183.SZ,怡 亞 通
002184.SZ,海得控制
002185.SZ,華天科技
002186.SZ,全 聚 德
002187.SZ,廣百股份
002188.SZ,新 嘉 聯
002189.SZ,利達光電
002190.SZ,成飛集成
002191.SZ,勁嘉股份
002192.SZ,路翔股份
002193.SZ,山東如意
002194.SZ,武漢凡谷
002195.SZ,海隆軟件
002196.SZ,方正電機
002197.SZ,證通電子
002198.SZ,嘉應制藥
002199.SZ,東晶電子
002200.SZ,*ST大地
002201.SZ,九鼎新材
002202.SZ,金風科技
002203.SZ,海亮股份
002204.SZ,大連重工
002205.SZ,國統股份
002206.SZ,海 利 得
002207.SZ,準油股份
002208.SZ,合肥城建
002209.SZ,達 意 隆
002210.SZ,飛馬國際
002211.SZ,宏達新材
002212.SZ,南洋股份
002213.SZ,特 爾 佳
002214.SZ,大立科技
002215.SZ,諾 普 信
002216.SZ,三全食品
002217.SZ,聯合化工
002218.SZ,拓日新能
002219.SZ,獨 一 味
002220.SZ,天寶股份
002221.SZ,東華能源
002222.SZ,福晶科技
002223.SZ,魚躍醫療
002224.SZ,三 力 士
002225.SZ,濮耐股份
002226.SZ,江南化工
002227.SZ,奧 特 迅
002228.SZ,合興包裝
002229.SZ,鴻博股份
002230.SZ,科大訊飛
002231.SZ,奧維通信
002232.SZ,啟明信息
002233.SZ,塔牌集團
002234.SZ,民和股份
002235.SZ,安妮股份
002236.SZ,大華股份
002237.SZ,恒邦股份
002238.SZ,天威視訊
002239.SZ,金 飛 達
002240.SZ,威華股份
002241.SZ,歌爾聲學
002242.SZ,九陽股份
002243.SZ,通產麗星
002244.SZ,濱江集團
002245.SZ,澳洋順昌
002246.SZ,北化股份
002247.SZ,帝龍新材
002248.SZ,華東數控
002249.SZ,大洋電機
002250.SZ,聯化科技
002251.SZ,步 步 高
002252.SZ,上海萊士
002253.SZ,川大智勝
002254.SZ,泰和新材
002255.SZ,海陸重工
002256.SZ,彩虹精化
002258.SZ,利爾化學
002259.SZ,升達林業
002260.SZ,伊 立 浦
002261.SZ,拓維信息
002262.SZ,恩華藥業
002263.SZ,大 東 南
002264.SZ,新 華 都
002265.SZ,西儀股份
002266.SZ,浙富股份
002267.SZ,陜天然氣
002268.SZ,衛 士 通
002269.SZ,美邦服飾
002270.SZ,法因數控
002271.SZ,東方雨虹
002272.SZ,川潤股份
002273.SZ,水晶光電
002274.SZ,華昌化工
002275.SZ,桂林三金
002276.SZ,萬馬電纜
002277.SZ,友阿股份
002278.SZ,神開股份
002279.SZ,久其軟件
002280.SZ,新世紀
002281.SZ,光迅科技
002282.SZ,博深工具
002283.SZ,天潤曲軸
002284.SZ,亞太股份
002285.SZ,世聯地產
002286.SZ,保齡寶
002287.SZ,奇正藏藥
002288.SZ,超華科技
002289.SZ,宇順電子
002290.SZ,禾盛新材
002291.SZ,星期六
002292.SZ,奧飛動漫
002293.SZ,羅萊家紡
002294.SZ,信立泰
002295.SZ,精藝股份
002296.SZ,輝煌科技
002297.SZ,博云新材
002298.SZ,鑫龍電器
002299.SZ,圣農發展
002300.SZ,太陽電纜
002301.SZ,齊心文具
002302.SZ,西部建設
002303.SZ,美盈森
002304.SZ,洋河股份
002305.SZ,南國置業
002306.SZ,湘鄂情
002307.SZ,北新路橋
002308.SZ,威創股份
002309.SZ,中利科技
002310.SZ,東方園林
002311.SZ,海大集團
002312.SZ,三泰電子
002313.SZ,日海通訊
002314.SZ,雅致股份
002315.SZ,焦點科技
002316.SZ,鍵橋通訊
002317.SZ,眾生藥業
002318.SZ,久立特材
002319.SZ,樂通股份
002320.SZ,海峽股份
002321.SZ,華英農業
002322.SZ,理工監測
002323.SZ,中聯電氣
002324.SZ,普利特
002325.SZ,洪濤股份
002326.SZ,永太科技
002327.SZ,富安娜
002328.SZ,新朋股份
002329.SZ,皇氏乳業
002330.SZ,得利斯
002331.SZ,皖通科技
002332.SZ,仙琚制藥
002333.SZ,羅普斯金
002334.SZ,英威騰
002335.SZ,科華恒盛
002336.SZ,人人樂
002337.SZ,賽象科技
002338.SZ,奧普光電
002339.SZ,積成電子
002340.SZ,格林美
002341.SZ,新綸科技
002342.SZ,巨力索具
002343.SZ,禾欣股份
002344.SZ,海寧皮城
002345.SZ,潮宏基
002346.SZ,柘中建設
002347.SZ,泰爾重工
002348.SZ,高樂股份
002349.SZ,精華制藥
002350.SZ,北京科銳
002351.SZ,漫步者
002352.SZ,鼎泰新材
002353.SZ,杰瑞股份
002354.SZ,科冕木業
002355.SZ,興民鋼圈
002356.SZ,浩寧達
